id,latitude,longitude,location,state,district,pincode,hospital_name,hospital_category,hospital_care_type,specialties,facilities,emergency_services,website,source_sr_no,source_row_number,data_quality_status,coordinate_quality_status,validation_errors
1,11.6357989,92.7120575,POINT(92.7120575 11.6357989),Andaman and Nicobar Islands,South Andaman,744101,Chakraborty Multi Speciality Hospital,0,Hospital,0,0,0,,1,0,CLEANED,VALID_COORDINATE,
2,11.8311681,92.6586401,POINT(92.6586401 11.8311681),Andaman and Nicobar Islands,South Andaman,744101,Inhs Dhanvantri,0,0,0,0,0,,2,1,CLEANED,VALID_COORDINATE,
3,11.8311681,92.6586401,POINT(92.6586401 11.8311681),Andaman and Nicobar Islands,South Andaman,744103,Maricar Hospital,0,Hospital,0,0,0,,3,2,CLEANED,VALID_COORDINATE,
4,11.6498468,92.7294624,POINT(92.7294624 11.6498468),Andaman and Nicobar Islands,South Andaman,744103,Pillar Health Centre,0,0,0,0,0,,4,3,CLEANED,VALID_COORDINATE,
5,11.6233774,92.7264828,POINT(92.7264828 11.6233774),Andaman and Nicobar Islands,South Andaman,744103,"G B Pant Hospital, Port Blair",Public/ Government,Hospital,"Surgery, Medicine, Gynaecology, Pediatrics, ENT, Pathology and Ophthalmology",,,http://www.and.nic.in/C_charter/health/dhs/index.html#gph,5,4,CLEANED,VALID_COORDINATE,
6,17.4274003,78.4311174,POINT(78.4311174 17.4274003),Andhra Pradesh,Hyderabad,500034,"Care Hospital, Banjara",Private,Hospital,"Anaesthesiology, Bio-Chemistry, Cardiac Yoga,\nCardiology\nCardiothoracic Surgery, Chest Physician, Critical Care, Dentistry and Maxillofacial Surgery, Dermatology, Diabetology, Dietetics, Emergency Medicine,\n Endocrinology, Endoscopy, Gastroenterology,\n Gastrointestinal Medicine,\n General Medicine,\n General Surgery,\n Geriatrics, Gynaecology,\n haematology, Hepatology,\n Internal Medicine,\n Interventional Radiology,\n Laboratory Medicine,\n Laparoscopic Surgery,\n Medical Oncology,\n Micro-Biology, Nephrology,\n Neuro Surgery, Neurology,\n Nuclear Medicine,\n Obstetrics and Gynaecology,\n Ophthalmology,\n Orthopedics and Traumatology,\nOtorhinolaryngology\n Pathology, Pediatric, Cardiology,\n Pediatric Surgery, Pediatric,\n Pediatric and Neonatology,\n Physiotherapy, Plastic Surgery and Cosmetic Surgery, Preventive, Medicine / Wellness, Psychiatry,\n Pulmonology, Radio-Diagnosis,\n Radiology, Respiratory, Medicine, Rheumatology, Sports Medicine\n Surgical Gastroenterology\n Surgical Oncology, Urology\n Vascular Surgery","Ambulance, Blood Bank,\nCasualty, Diagnostic, Services,\nDialysis Unit, Electrotherapy,\nEmergency Room, Exercise therapy,\nHome Health, Care Services\nLifestyle Clinic - A Preventive Medicine Centre, Pharmacy",,www.carehospitals.com,6,5,CLEANED,VALID_COORDINATE,
7,14.6795736,77.592469,POINT(77.592469 14.6795736),Andhra Pradesh,Anantapur,515001,Aasha Hospitals,0,0,0,0,0,,7,6,CLEANED,VALID_COORDINATE,
8,,,,Andhra Pradesh,Anantapur,515001,Abhaya Kidney Care Multispeciality Hospital,0,0,0,0,0,,8,7,CLEANED,MISSING_COORDINATE,MISSING_COORDINATES
9,14.6818877,77.6005911,POINT(77.6005911 14.6818877),Andhra Pradesh,Anantapur,515001,Baby Hospital,0,0,0,0,0,,9,8,CLEANED,VALID_COORDINATE,
10,14.6723351,77.6018211,POINT(77.6018211 14.6723351),Andhra Pradesh,Anantapur,515001,Dr Akbar Eye Hospital And Laser Centre,0,0,0,0,0,,10,9,CLEANED,VALID_COORDINATE,
11,,,,Andhra Pradesh,Anantapur,515001,Dr.Ysr Memorial Hospitals,0,0,0,0,0,,11,10,CLEANED,MISSING_COORDINATE,MISSING_COORDINATES
12,14.6749908,77.6032432,POINT(77.6032432 14.6749908),Andhra Pradesh,Anantapur,515001,Hrudaya Children Hospital,0,0,0,0,0,,12,11,CLEANED,VALID_COORDINATE,
13,17.4738037,78.5641765,POINT(78.5641765 17.4738037),Andhra Pradesh,Anantapur,515001,"Jeevana Jyothi Hospitals Ltd.,",0,0,0,0,0,,13,12,CLEANED,VALID_COORDINATE,
14,,,,Andhra Pradesh,Anantapur,515001,K K Nursing Home,0,0,0,0,0,,14,13,CLEANED,MISSING_COORDINATE,MISSING_COORDINATES
15,14.6818877,77.6005911,POINT(77.6005911 14.6818877),Andhra Pradesh,Anantapur,515001,Meda Nursing Home,0,0,0,0,0,,15,14,CLEANED,VALID_COORDINATE,
16,14.6723351,77.6018211,POINT(77.6018211 14.6723351),Andhra Pradesh,Anantapur,515001,Mnr Nursing Home,0,0,0,0,0,,16,15,CLEANED,VALID_COORDINATE,
17,14.6867872,77.5832307,POINT(77.5832307 14.6867872),Andhra Pradesh,Anantapur,515001,Mythri Hospitals,0,0,0,0,0,,17,16,CLEANED,VALID_COORDINATE,
18,15.3474564,75.1253824,POINT(75.1253824 15.3474564),Andhra Pradesh,Anantapur,515001,Padmavathi Hospital,0,0,0,0,0,,18,17,CLEANED,VALID_COORDINATE,
19,14.6742267,77.6025251,POINT(77.6025251 14.6742267),Andhra Pradesh,Anantapur,515001,Pavani Multi Speciality Hospital,0,0,0,0,0,,19,18,CLEANED,VALID_COORDINATE,
20,14.6818877,77.6005911,POINT(77.6005911 14.6818877),Andhra Pradesh,Anantapur,515001,Prasanthi Nursing Home,0,0,0,0,0,,20,19,CLEANED,VALID_COORDINATE,
21,14.6723351,77.6018211,POINT(77.6018211 14.6723351),Andhra Pradesh,Anantapur,515001,Priya Multispeciality Hospital,0,0,0,0,0,,21,20,CLEANED,VALID_COORDINATE,
22,14.6805847,77.6000775,POINT(77.6000775 14.6805847),Andhra Pradesh,Anantapur,515001,Ravitej Nursing Home,0,0,0,0,0,,22,21,CLEANED,VALID_COORDINATE,
23,13.9860276,77.7658783,POINT(77.7658783 13.9860276),Andhra Pradesh,Anantapur,515001,Santhi Nursing Home,0,0,0,0,0,,23,22,CLEANED,VALID_COORDINATE,
24,,,,Andhra Pradesh,Anantapur,515001,Sri Prakash Eye Hospital,0,0,0,0,0,,24,23,CLEANED,MISSING_COORDINATE,MISSING_COORDINATES
25,14.6818877,77.6005911,POINT(77.6005911 14.6818877),Andhra Pradesh,Anantapur,515001,Sri Sai Balaji Hospital,0,0,0,0,0,,25,24,CLEANED,VALID_COORDINATE,
26,13.6340453,79.4157431,POINT(79.4157431 13.6340453),Andhra Pradesh,Anantapur,515001,Sri Sai Kurpa Nursing Home,0,0,0,0,0,,26,25,CLEANED,VALID_COORDINATE,
27,14.6818877,77.6005911,POINT(77.6005911 14.6818877),Andhra Pradesh,Anantapur,515001,Sri Sai Venkateshwara Surgical Clinic,0,0,0,0,0,,27,26,CLEANED,VALID_COORDINATE,
28,14.9093514,78.0060388,POINT(78.0060388 14.9093514),Andhra Pradesh,Anantapur,515001,Sudhir Surgical Clinic,0,0,0,0,0,,28,27,CLEANED,VALID_COORDINATE,
29,14.6755437,77.6036802,POINT(77.6036802 14.6755437),Andhra Pradesh,Anantapur,515001,Suma Eye Clinic,0,0,0,0,0,,29,28,CLEANED,VALID_COORDINATE,
30,14.6755437,77.6036802,POINT(77.6036802 14.6755437),Andhra Pradesh,Anantapur,515001,Swetha Ent Hospital,0,0,0,0,0,,30,29,CLEANED,VALID_COORDINATE,
31,,,,Andhra Pradesh,Anantapur,515001,Vaatsalya Hospital(Ananthapur),0,0,0,0,0,,31,30,CLEANED,MISSING_COORDINATE,MISSING_COORDINATES
32,19.0627033,72.9297396,POINT(72.9297396 19.0627033),Andhra Pradesh,Anantapur,515001,Varun Children's Hospital,0,0,0,0,0,,32,31,CLEANED,VALID_COORDINATE,
33,14.6818877,77.6005911,POINT(77.6005911 14.6818877),Andhra Pradesh,Anantapur,515001,Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),0,0,0,0,0,,33,32,CLEANED,VALID_COORDINATE,
34,14.6607456,77.6085681,POINT(77.6085681 14.6607456),Andhra Pradesh,Anantapur,515001,Vijaya Nursing Home,0,0,0,0,0,,34,33,CLEANED,VALID_COORDINATE,
35,,,,Andhra Pradesh,Anantapur,515002,Divyasree Hospital,0,0,0,0,0,,35,34,CLEANED,MISSING_COORDINATE,MISSING_COORDINATES
36,13.0433764,80.1622367,POINT(80.1622367 13.0433764),Andhra Pradesh,Anantapur,515004,Mamatha Nursing Home,0,0,0,0,0,,36,35,CLEANED,VALID_COORDINATE,
